Target Sentence,Predicted Sentence,Source Length,Target Length,Prediction Length,Correct Transformation,Parseable,Preserves Identical Tree Structure,"Preserves Significant Clauses (S, AdvP, RelP)",Negates Main Clause,Has Main Clause,Negates Main Clause,Negates Outside of Main Clause,Has Target Verb,Negates Target Verb
because a professor must hide the baklava she should not chew the strudel,because a professor should not chew the pancakes,12,13,8,0,1,0,0,0,0,1,1,1
because neville must sprinkle the eclaires dobby may not hide a chocolate since a wizard can eat the eclaires,the wizard must not sprinkle the pancakes,18,19,7,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
because hagrid should wiggle james may not prepare the cookie that harry should make,because hagrid should not wiggle because hermione should wiggle,13,14,9,0,1,0,0,0,0,1,0,0
because lupin must laugh petunia may not run,because must not run because petunia may run,7,8,8,0,0,N/A,N/A,0,0,0,1,1
since he should hiccup fred can not wiggle,since he should not hiccup,7,8,5,0,1,0,0,0,0,1,0,0
since hagrid may make a eclaire lily can not prepare the souffles,hagrid may not prepare the souffles,11,12,6,0,1,0,0,1,1,1,1
since the professor should arrange a cake ron must not swim,since the professor may not sprinkle the baklava,10,11,8,0,1,0,0,0,0,1,0,0
because james can laugh the professor should not chew the chocolate,because james should not chew the pancakes,10,11,7,0,1,0,0,0,0,1,1,1
because vernon should chew many chocolates that voldemort can hide ron may not chew the eclaires,because neville should not chew the eclaires,15,16,7,0,1,0,0,0,0,1,1,1
because petunia must chew the eclaires that voldemort must hide voldemort must not create the strudels,because petunia must not chew the chocolates,15,16,7,0,1,0,0,0,0,1,0,0
since the professor may laugh the professor may not create the strudels,since the professor may not create the strudels,11,12,8,0,1,0,0,0,0,1,1,1
because mcgonagall should eat a pancake because neville must party voldemort should not eat the pancake,because should not eat a cake because the should eat the baklava,15,16,12,0,0,N/A,N/A,0,0,0,1,1
because petunia should hide a eclaire lily should not eat the cookie which hermione must prepare,because should not eat the baklava which a should eat,15,16,10,0,0,N/A,N/A,0,0,0,1,1
since ginny must eat the cookie that draco must eat harry must not hide the cookies,since must not hide the baklava because the must hide the baklava,15,16,12,0,0,N/A,N/A,0,0,0,1,1
since the professor should hide many baklava a professor must not chew a croissant which the student should make,since should not hide many pancakes since a should hide the baklava which a should hide,18,19,16,0,0,N/A,N/A,0,0,0,0,0
since hermione should giggle neville may not create a baklava since sirius must sprinkle the cookies which lupin must chew,since neville may not create a chocolate which a must sprinkle,19,20,11,0,0,N/A,N/A,0,0,0,1,1
since james can swim since lupin may chew the croissant he should not sprinkle the baklava that neville can assemble,james may not chew the souffles that the can chew,19,20,10,0,0,N/A,N/A,0,0,0,0,0
since ginny can party since she must prepare a doughnut which hagrid may prepare fred should not sprinkle the chocolates,since ginny may not sprinkle the strudels because the must sprinkle the strudels,19,20,13,0,0,N/A,N/A,0,0,0,1,1
since fred should eat the doughnut that george should chew ron should not gobble the pancakes,since should not eat the pancakes which the should eat,15,16,10,0,0,N/A,N/A,0,0,0,0,0
