Target,Prediction,Source Length
since the professor should hide the pancake since the professor should create a cookie that hermione must eat ron may gobble the cakes,since the professor should hide the pancake since the professor should create a cookie that hermione must eat ron may gobble the gobble,23
because a witch should gobble a cookie that mcgonagall must gobble since mcgonagall may assemble the pancakes that albus must create ginny can hiccup,because a witch should gobble a cookie that mcgonagall must gobble since mcgonagall may assemble the pancakes that albus must create the pancakes that albus must create,24
because hagrid must make the chocolate which james should eat since vernon can create the pancake which vernon must assemble the witch can jump,because hagrid must make the chocolate which james should eat since vernon can create the pancake which vernon must assemble the witch must assemble the witch must assemble the witch,24
since she should hiccup since snape must sprinkle a croissant which voldemort may assemble voldemort may hide a souffle which a professor can make,since she should hiccup since snape must sprinkle a croissant which voldemort may assemble voldemort may hide a souffle which a professor should a professor can make a professor,24
since hermione may run because george should sprinkle a cake that hermione must hide she may arrange the cookies which a wizard should sprinkle,since hermione may run because george should sprinkle a cake that hermione must hide a cake arrange the cookies which a wizard should create,24
since voldemort may wiggle because dobby may swim fred may assemble a pancake because neville should gobble the doughnuts which the wizard can create,since voldemort may wiggle because dobby may swim fred may assemble a pancake because neville should gobble the doughnuts which the wizard should prepare the doughnuts,24
because a student must gobble the strudels since a student may create the croissants voldemort may party,because a student must gobble the strudels since a student may create the croissants may voldemort,17
since hagrid should make the croissant because james must arrange the souffle that the student should sprinkle a student may make a strudel,since hagrid should make the croissant because james must arrange the souffle that the student should sprinkle a student may make a student,23
because mcgonagall can giggle a witch may giggle because george should eat the chocolate that petunia must prepare,because mcgonagall can giggle a witch may giggle because george should eat the chocolate that petunia must,18
since lily can swim since mcgonagall can giggle because snape should arrange many pancakes which draco must prepare she should hide the strudels,since lily can swim since mcgonagall can giggle because snape should arrange many pancakes which draco must prepare she should hide the hide,23
because harry can assemble the eclaires since vernon can assemble the croissant that the professor must make a student may make the doughnuts,because harry can assemble the eclaires since vernon can assemble the croissant that the professor must make a student may make the make,23
since ginny should party since mcgonagall must prepare a croissant because james should assemble the chocolate that james can assemble mcgonagall can swim,since ginny should party since mcgonagall must prepare a croissant because james should assemble the chocolate that james can assemble can can assemble can assemble,23
Target,Prediction,Source Length
since the student should smile because lupin can prepare many souffles he must not sprinkle a eclaire,since the student should smile because because lupin can prepare many souffles he must sprinkle a eclaire,16
because the wizard should arrange the pancakes the professor must not gobble the cakes,because the wizard should arrange the pancakes the professor must gobble the cakes cakes,13
because snape should assemble the eclaires that petunia must arrange hermione should not jump,snape snape should not assemble the eclaires that petunia must arrange hermione should jump,13
because a student can sprinkle the pancakes james may not sprinkle a cookie that draco must chew,a a student can sprinkle the pancakes james james may sprinkle a cookie that draco must chew,16
because a student should assemble the baklava that harry must prepare mcgonagall may not arrange a doughnut,a a student should assemble the the baklava that harry must prepare mcgonagall may arrange a doughnut,16
because a wizard must eat a eclaire petunia may not laugh because the witch may arrange a eclaire which she can sprinkle,because a wizard must eat a a eclaire petunia may laugh because the witch may arrange a eclaire which she can sprinkle,21
because james must make the chocolate that lily may hide draco should not arrange the pancakes since ron must prepare a pancake,james james must not make the chocolate that lily may hide draco should arrange the pancakes since ron must prepare a pancake,21
because a student must swim neville should not laugh since harry should create the croissant,a a student must not swim neville should laugh since harry should create the croissant,14
because snape may make the croissants harry must not run,snape snape may not make the croissants harry must run,9
