Target,Prediction,Source Length
since a professor must arrange the souffle fred must chew a eclaire that the professor must create since a witch should run,since a professor must arrange the souffle fred must chew a eclaire fred chew chew eclaire eclaire the professor must create since a witch should run,22
since mcgonagall can wiggle because lily must create a strudel snape must create the baklava which george may chew,since mcgonagall can wiggle because lily must create a strudel snape must create a baklava snape must create the baklava which george may chew,19
since draco should arrange the baklava which ginny should assemble because voldemort can create a croissant which he can make a wizard should run,since draco should arrange the baklava which ginny should assemble because voldemort can create a croissant which he can make a wizard should run a wizard should run,24
since harry must sprinkle many eclaires which hermione should prepare the witch should sprinkle the cookies which vernon should arrange,since harry must sprinkle many eclaires which hermione should prepare the cookies should sprinkle the cookies which vernon should arrange,20
because dobby can hide the croissants since sirius must create the eclaires which she may sprinkle the professor may create a pancake,because dobby can hide the croissants since sirius must create the eclaires which she may sprinkle a pancake,22
since the witch should chew the croissants fred should assemble the eclaire since he should eat the doughnuts which a student should make,since the witch should chew the croissants fred should assemble the eclaire since a should should the strudels which a student should make,23
since hagrid must smile because he may gobble a croissant since fred must eat a strudel that the student must arrange hagrid should walk,since hagrid must smile because he may gobble a croissant since fred must eat a strudel that the student must arrange hagrid must eat a strudel that the student must,24
since snape may smile since lupin should jump because albus should prepare the eclaires vernon can hide many cookies which vernon can sprinkle,since snape may smile since lupin should jump because albus should prepare the cookies vernon vernon hide hide cookies cookies vernon vernon hide hide cookies cookies vernon vernon hide hide,23
because ron must make the eclaires lupin should assemble a eclaire,because ron must make the eclaires lupin should assemble a eclaire lupin should assemble a eclaire,11
since he must prepare a eclaire lily must gobble the cookies since he may chew the chocolates,since he must prepare a eclaire lily must gobble the cookies since the may may chew the chocolates,17
because george should arrange the cookie ginny must assemble the cakes that hagrid may hide,because george should arrange the cookie ginny must assemble the cakes ginny must assemble the cakes that hagrid may hide,15
because lily may swim because harry can arrange the cookies mcgonagall must eat the cookie that the witch should sprinkle because lupin should giggle,because lily may swim because harry can arrange the cookies mcgonagall must eat the cookie that the witch should sprinkle because lupin should giggle the cookie that the witch should,24
because sirius may run because the witch should wiggle since vernon must laugh because mcgonagall must sprinkle the cookies harry may prepare the cookies,because sirius may run because the witch should wiggle since vernon must laugh because mcgonagall must sprinkle the cookies harry may prepare the cookies harry may prepare the cookies,24
because lily must walk since lily may create a croissant that fred must gobble the student must arrange the cookie which neville must gobble,because lily must walk lily lily create create a croissant that fred must gobble,24
because he may hiccup mcgonagall may create the croissants which albus must assemble,because he may hiccup mcgonagall the create which the must must assemble,13
because petunia may sprinkle the souffles since a professor must hide the cookies voldemort can arrange a souffle,because petunia may sprinkle the souffles since a professor must hide the cookies voldemort voldemort arrange arrange a souffle,18
since fred must wiggle because a witch should sprinkle the cookie that she can make a professor may make a doughnut,since fred must wiggle because a witch should sprinkle the cookie that she can make a doughnut may make a doughnut,21
because vernon may hiccup she can create the cookies that hagrid should make,because vernon may hiccup she the create that the should make,13
since mcgonagall can arrange many souffles since ginny should giggle because neville can hide the eclaire which albus may chew voldemort must swim,since mcgonagall can arrange many souffles since ginny should giggle because neville can hide the eclaire which albus may chew voldemort must chew the eclaire which albus may chew voldemort,23
because harry should arrange the cookies that she can arrange since draco can wiggle she should gobble a strudel because hermione can giggle,because harry should arrange the cookies that she can arrange since draco can wiggle she should gobble a strudel because hermione can giggle a hermione can giggle,23
because sirius can eat the cake because she can prepare the cookie a wizard can arrange a chocolate since ron should party,because sirius can eat the cake because she can prepare the cookie a wizard can arrange a chocolate since ron should party a wizard can arrange a chocolate since ron,22
since fred should eat the eclaire which ginny should make harry should create a cake since he can create the eclaire,since fred should eat the eclaire which ginny should make harry should create a cake since the can create the eclaire,21
since mcgonagall may wiggle lupin must chew the chocolates since dobby must make a strudel because lily must create the baklava,since mcgonagall may wiggle lupin must chew the chocolates since dobby must make a strudel because lily must create a strudel because lily must create a strudel because lily must,21
since draco may assemble the eclaires ron must assemble the eclaire which hagrid can assemble,since draco may assemble the eclaires ron must assemble the eclaire ron hagrid assemble assemble eclaire eclaire hagrid can assemble,15
because the wizard should gobble the doughnuts ginny must gobble the eclaire,because the wizard should gobble the doughnuts ginny must gobble the eclaire ginny must gobble the eclaire,12
because ginny should hiccup lupin should chew the doughnuts that a professor should make since james may chew a eclaire,because ginny should hiccup lupin should doughnuts a eclaire,20
Target,Prediction,Source Length
since snape can make the cakes ginny must not chew a baklava which petunia can gobble,since snape can make make cakes cakes ginny must chew a baklava which petunia can gobble,15
because vernon must gobble the strudel that ginny can arrange lupin can not eat the chocolates,because must not gobble the strudel that ginny can arrange lupin can eat the chocolates,15
because ginny may laugh snape should not gobble the croissant,because may not laugh snape should gobble the croissant,9
because snape must make the cakes which voldemort should assemble george can not assemble a croissant which a student should hide,because must not make the cakes which voldemort should assemble george can assemble a croissant which a student should hide,20
since fred must create the souffle george should not create the souffle,since fred must not the the souffle george should create the souffle,11
because vernon must eat the chocolates that he should gobble lupin may not eat the eclaire which the wizard must sprinkle,because must not eat the chocolates that he should gobble lupin may eat the eclaire which the wizard must sprinkle,20
because snape should hide a cookie lupin should not prepare many pancakes that ginny may assemble since he should assemble a cake,because snape should not a a lupin should prepare many pancakes that ginny may assemble since he should assemble a cake,21
because hermione may eat the cake he should not run,because may not eat the cake he should run,9
since albus should hide a eclaire that james must hide ginny should not eat the cakes,since albus should not a a eclaire that james must hide ginny should eat the cakes,15
since snape should run fred can not chew the strudel,since snape should run run can chew the strudel,9
because petunia may make the souffles that albus should make he should not arrange a baklava that james must arrange,because may not make the souffles that albus should make he should arrange a baklava that james must arrange,19
since snape may laugh ginny may not chew the croissant because lily must eat a doughnut that lily should arrange,since snape may laugh laugh may may chew the croissant because lily must eat a doughnut that lily should arrange,19
because hermione must jump sirius may not eat the souffles that hagrid may hide,because must not jump sirius may eat the souffles that hagrid may hide,13
because snape should smile albus may not hide a pancake that ron must make,because snape should not albus albus may hide a pancake that ron must make,13
because ginny must hiccup a wizard should not chew many souffles which albus must eat,because must not hiccup a wizard should chew many souffles which albus must eat,14
since the student must prepare the souffles petunia may not assemble the cookies since he should make the baklava since fred should arrange a doughnut,since the student must not prepare the souffles petunia may assemble the cookies since assemble may assemble the cookies since fred should make the baklava since fred should arrange a,24
since james should smile snape should not gobble the baklava that voldemort should hide since voldemort should gobble a strudel that harry should make,since james should not snape snape should gobble the baklava that voldemort should hide since voldemort should gobble a strudel that harry should make,23
because the professor can create the eclaire hermione must not jump,because the can not create the eclaire hermione must jump,10
because vernon must prepare the eclaires that dobby should sprinkle a wizard may not make a cake,because must not prepare the eclaires that dobby should sprinkle a wizard may make a cake,16
because fred should arrange a cake that ginny must assemble a witch may not hide many baklava,because fred should not a a cake that ginny must assemble a witch may hide many baklava,16
because vernon may sprinkle the doughnuts that the student should hide she may not party,because may not sprinkle the doughnuts that the student should hide she may party,14
because she must sprinkle a eclaire that the professor may prepare a wizard may not chew many eclaires,because must not sprinkle a eclaire that the professor may prepare a wizard may chew many eclaires,17
because ginny must prepare the eclaire lupin may not chew the cookies that the wizard should make,because must not prepare the eclaire lupin may chew the cookies that the wizard should make,16
because fred must prepare a pancake which george can create the witch must not arrange the doughnuts,because must not prepare a pancake which george can create the witch must arrange the doughnuts,16
since fred should walk ron can not chew the pancake because he should create the cookies,since fred should not ron ron can chew the pancake because he should create the cookies,15
because lily should gobble a eclaire snape can not eat a strudel,because lily should not a a eclaire can eat a strudel,11
because snape must assemble the baklava that lupin should gobble dobby must not prepare many cookies that vernon can create,because must not assemble the baklava that lupin should gobble dobby must prepare many cookies that vernon can create,19
because sirius must prepare the chocolates that he should make george must not gobble the eclaire that a witch may hide,because must not prepare the chocolates that he should make george must gobble the eclaire that a witch may hide,20
because petunia must eat the cake that ginny may eat she must not sprinkle the strudels which petunia should make,because must not eat the cake that ginny may eat she must sprinkle the strudels which petunia should make,19
since the wizard must chew the chocolate the student should not chew the eclaire,since wizard wizard chew chew chocolate chocolate the student should chew the eclaire,13
because hagrid must create many cakes which sirius should sprinkle the student should not prepare a souffle,because must not create many cakes which sirius should sprinkle the student should prepare a souffle,16
because the wizard may arrange the cookies ginny may not hide a croissant which lily should eat,because wizard may not arrange the cookies ginny may hide a croissant which lily should eat,16
since the student can wiggle harry may not hide the strudel because neville should chew the doughnut that hermione must chew,since the student can wiggle wiggle may may hide the strudel because neville should chew the doughnut that hermione must chew,20
because the wizard can arrange the chocolates that ginny must make voldemort should not arrange a chocolate that voldemort should eat,because wizard can not arrange the chocolates that ginny must make voldemort should arrange a chocolate that voldemort should eat,20
because vernon may gobble the strudels james must not chew a cookie,because may not gobble the strudels james must chew a cookie,11
because she must party ginny should not create many souffles which lupin should chew,because must not party,13
because the wizard can sprinkle the baklava ginny should not giggle,because wizard can not sprinkle the baklava ginny should giggle,10
because fred must assemble a strudel that ron should hide voldemort may not arrange the cakes,because must not assemble a strudel that ron should hide voldemort may arrange the cakes,15
since the student should eat the souffles james may not arrange the croissant since he should walk,since the student should not eat the souffles james may arrange the croissant since the should walk,16
since mcgonagall should create the chocolate a professor may not hide the cake that fred must assemble,since mcgonagall should not the the chocolate a professor may hide the cake that fred must assemble,16
because petunia should create a souffle hagrid should not assemble the pancakes which hagrid must create,because petunia should not a a hagrid should assemble the pancakes which hagrid must create,15
because ron should create a eclaire which ginny must prepare george must not prepare the cakes,because ron should not a a which ginny must prepare george must prepare the cakes,15
because mcgonagall can laugh he may not sprinkle the strudel,because mcgonagall can not he he may sprinkle the strudel,9
because fred may walk snape must not run,because may not walk snape must run,7
since albus may walk mcgonagall can not arrange the souffle,since albus may not mcgonagall mcgonagall can arrange the souffle,9
because ron may chew the strudels that lily should create the student should not eat many doughnuts that snape may create,because may not chew the strudels that lily should create the student should eat many doughnuts that snape may create,20
since the wizard must wiggle james should not arrange the pancake that lupin should create,since wizard wizard wiggle wiggle wiggle wiggle wiggle should not arrange the pancake that lupin should create,14
since lily should create the doughnuts which a wizard may arrange neville must not assemble the strudels which the witch must assemble,since lily should not the the doughnuts which a wizard may arrange neville must assemble the strudels which the witch must assemble,21
because ron may sprinkle the cookies because the professor can create a souffle a professor may not create the souffle that ron may chew,because may not sprinkle the cookies because the professor can create a souffle a professor may create the souffle that ron may chew,23
because ron must make the cookie a student should not create a baklava,because must not make the cookie a student should create a baklava,12
because fred must gobble the cookies a student may not laugh,because must not gobble the cookies a student may laugh,10
because he should gobble many cookies which petunia may prepare mcgonagall may not chew the doughnut because sirius must eat the eclaire,because he should not many many which which petunia may prepare mcgonagall may chew the doughnut because sirius must eat the eclaire,21
because the wizard may assemble many croissants because ron may wiggle hermione may not party,because wizard may not assemble many croissants because ron may wiggle hermione may party,14
because snape must create a cookie that the student should sprinkle snape may not make a strudel which mcgonagall may make,because must not create a cookie that the student should sprinkle snape may make a strudel which mcgonagall may make,20
because ginny must eat the eclaires petunia may not sprinkle many cookies,because must not eat the eclaires petunia may sprinkle many cookies,11
because hermione must arrange a croissant that she must sprinkle mcgonagall must not walk,because must not arrange a croissant that she must sprinkle mcgonagall must walk,13
because hermione must eat many chocolates a professor must not chew the strudels,because must not eat many chocolates a professor must chew the strudels,12
because vernon must laugh lupin must not create the croissants that the student should create,because must not laugh lupin must create the croissants that the student should create,14
because snape must gobble the cookie the wizard may not arrange the pancakes which lupin should assemble,because must not gobble the cookie the wizard may arrange the pancakes which lupin should assemble,16
because hermione may create the baklava hermione should not gobble the croissant,because may not create the baklava hermione should gobble the croissant,11
because james must arrange a cookie she must not gobble the cookies,because must not arrange a cookie she must gobble the cookies,11
because the wizard must walk neville may not chew a cake which the wizard may eat,because wizard wizard must not neville neville may chew a cake which the wizard may eat,15
since lupin can hiccup harry must not make the strudels because the wizard must eat the croissant,since lupin can not harry harry must make the strudels because the wizard must eat the croissant,16
because james must arrange a doughnut which george may sprinkle voldemort may not prepare a baklava which sirius can make,because must not arrange a doughnut which george may sprinkle voldemort may prepare a baklava which sirius can make,19
because vernon must swim ron should not prepare the doughnuts since ron should make a doughnut which dobby can hide,because must not swim ron should prepare the doughnuts since ron should make a doughnut which dobby can hide,19
because the professor can hide a eclaire lupin should not eat the cookies which mcgonagall may arrange,because the can not hide a eclaire lupin should eat the cookies which mcgonagall may arrange,16
because the student may make a cookie lily should not create the baklava that george must eat,because the may not make a cookie lily should create the baklava that george must eat,16
because he may create a strudel which lupin can chew the student must not hide the cake which a professor should create,because he may not a a strudel which lupin can chew the student must hide the cake which a professor should create,21
because ron must assemble the cookies a student may not create the pancake,because must not assemble the cookies a student may create the pancake,12
because the wizard can prepare many chocolates neville may not sprinkle the chocolates since george should prepare the cake that vernon should prepare,because wizard can not prepare many chocolates neville may sprinkle the chocolates since george should prepare the cake that vernon should prepare,22
because vernon may chew a cookie that harry must chew she should not prepare the doughnut that albus must assemble,because may not chew a cookie that harry must chew she should prepare the doughnut that albus must assemble,19
because lily must hiccup snape must not gobble a strudel which ginny should gobble since fred may chew the eclaires,because lily must not snape snape must gobble a strudel which ginny should gobble since fred may chew the eclaires,19
because harry must jump because fred should prepare a doughnut voldemort must not create the croissants which ginny can hide,because must not jump because fred should prepare a doughnut voldemort must create the croissants which ginny can hide,19
because dobby must laugh sirius may not prepare a cookie that she must create,because must not laugh sirius may prepare a cookie that she must create,13
because albus may jump she must not jump,because may not jump she must jump,7
because vernon may assemble the strudels that the student may arrange voldemort can not make the doughnuts that hagrid can prepare,because may not assemble the strudels that the student may arrange voldemort can make the doughnuts that hagrid can prepare,20
because the wizard should walk a professor may not create the cookie,because wizard wizard should not walk a professor may create the cookie,11
since the wizard should gobble the doughnuts which voldemort can assemble he should not laugh,since wizard wizard gobble gobble doughnuts doughnuts voldemort can assemble he should laugh,14
since hagrid should hide a cookie which she must gobble james can not gobble a pancake,since hagrid should not a a cookie which she must gobble james can gobble a pancake,15
since she should gobble a souffle that draco can assemble neville must not make the souffles,since she should not a a that draco can assemble neville must make the souffles,15
because hagrid must chew the souffles a professor must not create the baklava,because must not chew the souffles a professor must create the baklava,12
because vernon should assemble the cakes which albus should chew draco must not prepare a pancake that the professor may assemble,because should not assemble the cakes which albus should chew draco must prepare a pancake that the professor may assemble,20
because hermione must assemble the croissants albus must not arrange the doughnuts since fred should smile,because must not assemble the croissants albus must arrange the doughnuts since fred should smile,15
because harry must sprinkle many cookies that lily may chew neville can not chew the eclaire,because must not sprinkle many cookies that lily may chew neville can chew the eclaire,15
