Target,Prediction,Source Length
since the wizard may assemble the souffles because hagrid must chew the baklava that petunia can assemble hagrid should sprinkle the eclaires,since the wizard may assemble the souffles because hagrid must chew the eclaires hagrid petunia can assemble hagrid should sprinkle the baklava,22
because voldemort can sprinkle a chocolate that a witch must hide a professor may create a cake which a student should make,because voldemort can sprinkle a chocolate that a witch must hide a professor may a a cake which a student should make,22
because the wizard must hiccup james must eat the cakes,because james must hiccup james wizard must eat the cakes,10
since draco should arrange the baklava which ginny should assemble because voldemort can create a croissant which he can make a wizard should run,since draco should arrange the baklava which ginny should assemble because voldemort can create a croissant which voldemort can make a should run,24
because a witch can make the cookies neville must arrange the baklava since ron can hide a croissant which fred must prepare,because a witch can make the cookies neville must arrange the baklava which ron can hide a croissant that neville must prepare,22
because the professor should assemble a cookie draco should party because the professor may make the strudel which albus should prepare,because the professor should assemble a cookie draco should prepare the eclaires because the professor may make a strudel albus should walk,21
since hermione may chew a pancake that harry should chew since albus can walk the wizard should assemble the souffles which george may arrange,since hermione may chew a pancake that harry should chew since petunia can walk since should assemble the souffles which a wizard may arrange,24
since she should hiccup since snape must sprinkle a croissant which voldemort may assemble voldemort may hide a souffle which a professor can make,since she should hiccup since snape must sprinkle a croissant voldemort may assemble a souffle which voldemort may hide a professor can assemble a croissant,24
because the professor should make the souffles since mcgonagall can chew a eclaire which a student must arrange he may eat a pancake,because the professor should make the souffles since he can chew a pancake which a must gobble a student may chew mcgonagall must mcgonagall,23
because voldemort should arrange the strudels a wizard must make the strudel which hagrid may create,because voldemort should arrange the strudels a wizard must make the strudel hagrid may create many strudels,16
because fred can create a baklava she should chew the pancakes that a witch should prepare,because fred can create a baklava which should chew the pancakes that george should prepare,16
because she should sprinkle many cookies that the wizard may gobble draco must giggle because mcgonagall may chew the cookie,because she should sprinkle many cookies that the wizard may gobble because must giggle because mcgonagall may chew the cookie,20
because albus should chew many baklava a student should assemble many doughnuts because a professor must make the eclaires that she should create,because albus should chew many baklava a student should assemble many eclaires because a professor must assemble the croissants she should create many souffles,23
because dobby should chew the eclaires which fred may prepare lily may gobble the doughnuts since hermione should chew the doughnuts,because dobby should chew the doughnuts which may prepare since lily may gobble the eclaires since hermione should chew the doughnuts,21
since a student should eat the baklava because hermione may swim snape can create the cookies,since a student should eat the baklava because hermione may create snape can swim may create the cookies,16
because the student can chew the doughnuts that the student may create voldemort may swim,because the student can chew the doughnuts that the may create george may swim,15
