Target,Prediction,Source Length
because albus must chew a eclaire that albus can eat snape may assemble the eclaire that she must chew because harry can walk,because albus must chew a eclaire that albus can eat snape may assemble the eclaire that she must because because she must because,23
the wizard must eat a eclaire that a professor can prepare since the wizard may chew the pancake that george can make,the wizard must eat a eclaire that a professor can prepare since the wizard may chew the pancake george george george chew,22
since snape may swim because lupin must chew the strudels that he may gobble neville can assemble the chocolates that she may eat,since snape may swim because lupin must chew the strudels that he may gobble neville can assemble the that,23
he may wiggle since the wizard may sprinkle the baklava since petunia must laugh,he may wiggle since the wizard may sprinkle the since since petunia must laugh,14
Target,Prediction,Source Length
because albus can eat the croissant the wizard can not make the baklava since albus can eat the eclaires that sirius must prepare,because albus can eat the croissant the wizard can not make the baklava since albus can eat the eclaires sirius sirius sirius,22
since the professor should make the eclaire since snape can make the croissants which harry must eat ron must not chew the doughnuts,since the professor should make the eclaire since snape can make the croissants which harry must eat ron must chew chew must not chew,22
since lily may walk harry must not eat the cookie which hermione can hide since george may hide the eclaire that hagrid should create,since lily may walk harry must not eat the cookie which hermione can hide since george may hide the eclaire that,23
since lupin should create the cookie draco may not prepare the baklava because a witch must gobble the cakes which she may make,since lupin should create the cookie draco may not prepare the baklava because a witch must gobble the cakes she she she must gobble,22
because a witch can sprinkle the cakes she can not sprinkle the doughnuts because petunia must make the cookies which she can gobble,because a witch can sprinkle the cakes she can not sprinkle the doughnuts because petunia must make the cookies she she she,22
since the professor must run because hermione may create the cakes that sirius may assemble a wizard can not assemble a baklava,since the professor must run because hermione may create the cakes that sirius may assemble a wizard can not assemble a wizard can assemble a doughnut a a a wizard,21
the wizard should not eat the pancakes since the witch can make the pancakes that the witch must hide,the wizard should not eat the pancakes since the witch can make the pancakes that the witch must hide the witch must hide,18
snape must not make the doughnut that she can eat since harry may smile since he may arrange the cookie which she should sprinkle,snape must not make the doughnut that she can eat since harry may smile since he may arrange the which which which,23
since the wizard must eat a baklava lupin may not hide the cookies since voldemort should hide the croissant that he may create,since the wizard must eat a baklava lupin may not hide the cookies since voldemort should hide the croissant he he he he,22
because a student should arrange the cookie the student must not assemble the cookies that george should chew since fred must swim,because a student should arrange the cookie the student must not assemble the cookies that george should chew since fred must must chew,21
since he can chew the cookies a wizard should not arrange a eclaire since a professor should arrange a eclaire that ron may create,since he can chew the cookies a wizard should not arrange a eclaire since a professor should arrange a eclaire that a eclaire,23
because a professor may create a souffle since he may smile since the witch should laugh the student can not hiccup,because a professor may create a souffle since he may smile since since the witch should laugh the student can not hiccup,20
a witch can not hide the strudels since she may chew the pancakes because draco must chew a cake that she may gobble,a witch can not hide the strudels since she may chew the pancakes because draco must chew a cake she she she must chew,22
since fred should jump because fred can hide the cookies which a professor may create snape must not hiccup,since fred should jump because fred can hide the cookies which a professor may create many must not hiccup,18
