Target,Prediction,Source Length
neville can eat the cake because a student should walk since the professor should chew the cakes which the student must prepare,neville can eat the cake because a student should walk since the professor should chew the cakes which the student the cakes which the student the student,22
because lily can make the chocolate voldemort must sprinkle the cookies that fred should hide because lily may hide the souffles,because lily can make the chocolate voldemort must sprinkle the cookies that fred should hide because lily may hide the hide,21
because ron should chew the strudels that ginny can prepare because hermione must create a souffle george can arrange a cake,because ron should chew the strudels that ginny can prepare because hermione must create a souffle george can arrange a a souffle,21
since snape may swim because lupin must chew the strudels that he may gobble neville can assemble the chocolates that she may eat,since snape may swim because lupin must chew the strudels that he may gobble neville can assemble the chocolates that,23
because the wizard can make a baklava that fred should create since neville must smile a student should gobble the cakes,because the wizard can make a baklava that fred should create since neville must smile a student should gobble the gobble,21
since a professor should hide the cakes which ginny must chew a student must smile since fred must hide the pancake,since a professor should hide the cakes which ginny must chew a student must smile since fred must hide the hide,21
because albus must chew a eclaire that albus can eat snape may assemble the eclaire that she must chew because harry can walk,because albus must chew a eclaire that albus can eat snape may assemble the eclaire that she must chew because because she must chew,23
Target,Prediction,Source Length
since the wizard can smile since a wizard must sprinkle the pancakes which he can chew draco may not wiggle,since the wizard can smile since a wizard must sprinkle the pancakes which he can chew the pancakes which wiggle,19
because the student should laugh a witch must not eat the souffle that fred must create since lupin should create the cookies,because the student should laugh a witch must not eat the souffle that fred must create since lupin should create the create,21
since the witch can swim because petunia must smile she must not hide many cookies which petunia should eat,since the witch can swim because petunia must smile she must not hide many cookies petunia should eat,18
snape must not make the doughnut that she can eat since harry may smile since he may arrange the cookie which she should sprinkle,snape must not make the doughnut that she can eat since harry may smile since he may arrange the cookie which which may arrange,23
because fred can chew the souffles which he must chew snape can not laugh since hagrid should prepare the cakes that he must create,because fred can chew the souffles which he must chew snape can not laugh since hagrid should prepare the cakes that,23
a student should not hide a cookie that the professor must eat since petunia should make the cake which the student may make,a student should not hide a cookie that the professor must eat since petunia should make the cake which the student the cake which the student the student,22
because the student can arrange a cookie that a student can chew he can not sprinkle a croissant that a professor must chew,because the student can arrange a cookie that a student can chew he can not sprinkle a croissant that a professor a croissant that a professor a professor that a,22
since harry may arrange the cakes which hagrid must assemble because george can make many eclaires mcgonagall may not make a strudel,since harry may arrange the cakes which hagrid must assemble because george can make many eclaires mcgonagall may make a make,21
since he can chew the cookies a wizard should not arrange a eclaire since a professor should arrange a eclaire that ron may create,since he can chew the cookies a wizard should not arrange a eclaire since a professor should arrange a eclaire that a eclaire,23
because a witch can sprinkle the cakes she can not sprinkle the doughnuts because petunia must make the cookies which she can gobble,because a witch can sprinkle the cakes she can not sprinkle the doughnuts because petunia must make the cookies which she must make the cookies which she can make,22
a wizard must not chew the strudels that the witch must make because a student may sprinkle the cake which the student can eat,a wizard must not chew the strudels that the witch must make because a student may sprinkle the cake which the student,23
